serovar	molecule_type	plasmid_id	count
Stanley	plasmid	AA860	1
Stanley	plasmid	AA738	1
Hadar	chromosome		0
Hadar	plasmid	AA474	4
Hadar	plasmid	AA860	1
Hvittingfoss	chromosome		0
Hvittingfoss	plasmid	AA314	1
Weltevreden	chromosome		0
Weltevreden	plasmid	AA315	2
Weltevreden	plasmid	AA474	1
Rissen	chromosome		0
Rissen	plasmid	AA474	2
Thompson	chromosome		0
Thompson	plasmid	AA627	9
Thompson	plasmid	AA860	1
Thompson	plasmid	AA474	1
Cerro	chromosome		0
Cerro	plasmid	AA474	3
Choleraesuis	chromosome		0
Choleraesuis	plasmid	AA595	1
Choleraesuis	plasmid	AA627	1
Livingstone	chromosome		0
Livingstone	plasmid	AA860	2
Livingstone	plasmid	AA627	1
Havana	chromosome		0
Havana	plasmid	AA627	1
Havana	plasmid	AA474	2
Muenster	chromosome		0
Muenster	plasmid	AA860	2
Muenster	plasmid	AA627	3
Corvallis	chromosome		1
Corvallis	plasmid	AA474	1
Corvallis	plasmid	AA860	1
Edinburg	chromosome		0
Edinburg	plasmid	AA474	1
Blockley	chromosome		0
Blockley	plasmid	AA474	2
Paratyphi B var. Java	chromosome		0
Paratyphi B var. Java	plasmid	AA474	2
Mississippi	chromosome		0
Mississippi	plasmid	AA314	1
Mississippi	plasmid	AA474	2
London	chromosome		0
London	plasmid	AA474	4
London	plasmid	AC027	1
I B:l,v:-	chromosome		1
I B:l,v:-	plasmid	AA474	2
Bovismorbificans	chromosome		0
Bovismorbificans	plasmid	AA474	1
Langensalza	chromosome		0
Langensalza	plasmid	AA474	1
Liverpool	chromosome		0
Liverpool	plasmid	AA474	1
Putten	chromosome		0
Putten	plasmid	AA860	1
Adelaide	chromosome		0
Adelaide	plasmid	AA474	1
I C1:z10:-	chromosome		0
I C1:z10:-	plasmid	AA474	1
I Z:e,h:-	chromosome		0
I Z:e,h:-	plasmid	AA474	1
Kiambu	chromosome		0
Kiambu	plasmid	AA474	1
I C1:r:-	chromosome		1
I C1:r:-	plasmid	AA860	1
I 1,4,[5],12:b:-	chromosome		0
I 1,4,[5],12:b:-	plasmid	AA314	1
I 1,4,[5],12:b:-	plasmid	AA474	1
Oranienburg	chromosome		0
Oranienburg	plasmid	AA474	3
I D1:l,z28:-	chromosome		0
I D1:l,z28:-	plasmid	AA474	1
Ajiobo	chromosome		0
Ajiobo	plasmid	AA474	1
Woodinville	chromosome		0
Woodinville	plasmid	AA314	1
Orion	chromosome		0
Orion	plasmid	AA474	1
I E1:y:-	chromosome		0
I E1:y:-	plasmid	AA474	1
I C2-C3:i:-	chromosome		0
I C2-C3:i:-	plasmid	AA474	1
Cotham	chromosome		0
Cotham	plasmid	AA860	1
IIIa 18:z4,z23:-	chromosome		0
IIIa 18:z4,z23:-	plasmid	AA860	1
